,Neighborhood,Venue Category,counts
0,Amérique,French Restaurant,2
1,Amérique,Vietnamese Restaurant,1
2,Archives,French Restaurant,10
3,Archives,Italian Restaurant,4
4,Archives,Japanese Restaurant,3
5,Archives,Asian Restaurant,2
6,Archives,Falafel Restaurant,2
7,Archives,Restaurant,2
8,Archives,Tapas Restaurant,2
9,Archives,Thai Restaurant,2
10,Archives,Cajun / Creole Restaurant,1
11,Archives,Israeli Restaurant,1
12,Archives,Korean Restaurant,1
13,Archives,Okonomiyaki Restaurant,1
14,Archives,Provençal Restaurant,1
15,Archives,Seafood Restaurant,1
16,Archives,Vegetarian / Vegan Restaurant,1
17,Arsenal,French Restaurant,12
18,Arsenal,Italian Restaurant,2
19,Arsenal,Tapas Restaurant,2
20,Arsenal,Thai Restaurant,2
21,Arsenal,Vegetarian / Vegan Restaurant,2
22,Arsenal,Brazilian Restaurant,1
23,Arsenal,Japanese Restaurant,1
24,Arsenal,Restaurant,1
25,Arsenal,Seafood Restaurant,1
26,Arsenal,Southwestern French Restaurant,1
27,Arsenal,Szechuan Restaurant,1
28,Arts-et-Métiers,French Restaurant,10
29,Arts-et-Métiers,Restaurant,5
30,Arts-et-Métiers,Chinese Restaurant,4
31,Arts-et-Métiers,Italian Restaurant,4
32,Arts-et-Métiers,Vietnamese Restaurant,4
33,Arts-et-Métiers,Moroccan Restaurant,3
34,Arts-et-Métiers,Japanese Restaurant,2
35,Arts-et-Métiers,Seafood Restaurant,2
36,Arts-et-Métiers,Vegetarian / Vegan Restaurant,2
37,Arts-et-Métiers,Argentinian Restaurant,1
38,Arts-et-Métiers,Auvergne Restaurant,1
39,Arts-et-Métiers,Mexican Restaurant,1
40,Arts-et-Métiers,Sushi Restaurant,1
41,Auteuil,French Restaurant,1
42,Batignolles,French Restaurant,20
43,Batignolles,Italian Restaurant,9
44,Batignolles,Chinese Restaurant,2
45,Batignolles,Japanese Restaurant,2
46,Batignolles,Restaurant,2
47,Batignolles,Turkish Restaurant,2
48,Batignolles,American Restaurant,1
49,Batignolles,Fast Food Restaurant,1
50,Batignolles,Greek Restaurant,1
51,Batignolles,Indian Restaurant,1
52,Batignolles,Latin American Restaurant,1
53,Batignolles,Lebanese Restaurant,1
54,Batignolles,Mediterranean Restaurant,1
55,Batignolles,Seafood Restaurant,1
56,Batignolles,Sushi Restaurant,1
57,Batignolles,Thai Restaurant,1
58,Batignolles,Vegetarian / Vegan Restaurant,1
59,Bel-Air,French Restaurant,1
60,Belleville,French Restaurant,5
61,Belleville,Italian Restaurant,2
62,Belleville,Japanese Restaurant,2
63,Belleville,Restaurant,2
64,Belleville,African Restaurant,1
65,Belleville,Chinese Restaurant,1
66,Belleville,Thai Restaurant,1
67,Belleville,Turkish Restaurant,1
68,Belleville,Vietnamese Restaurant,1
69,Bercy,French Restaurant,2
70,Bercy,Italian Restaurant,2
71,Bercy,Japanese Restaurant,2
72,Bercy,Cambodian Restaurant,1
73,Bercy,Chinese Restaurant,1
74,Bercy,Doner Restaurant,1
75,Bercy,Fast Food Restaurant,1
76,Bercy,Portuguese Restaurant,1
77,Bercy,Restaurant,1
78,Bonne-Nouvelle,French Restaurant,9
79,Bonne-Nouvelle,Italian Restaurant,3
80,Bonne-Nouvelle,Restaurant,3
81,Bonne-Nouvelle,Chinese Restaurant,2
82,Bonne-Nouvelle,Japanese Restaurant,2
83,Bonne-Nouvelle,Asian Restaurant,1
84,Bonne-Nouvelle,Greek Restaurant,1
85,Bonne-Nouvelle,Israeli Restaurant,1
86,Bonne-Nouvelle,Moroccan Restaurant,1
87,Bonne-Nouvelle,Peruvian Restaurant,1
88,Bonne-Nouvelle,Ramen Restaurant,1
89,Bonne-Nouvelle,Sushi Restaurant,1
90,Bonne-Nouvelle,Thai Restaurant,1
91,Bonne-Nouvelle,Vegetarian / Vegan Restaurant,1
92,Chaillot,French Restaurant,18
93,Chaillot,Italian Restaurant,7
94,Chaillot,Chinese Restaurant,2
95,Chaillot,Japanese Restaurant,2
96,Chaillot,Cantonese Restaurant,1
97,Chaillot,Indian Restaurant,1
98,Chaillot,Lebanese Restaurant,1
99,Chaillot,Mediterranean Restaurant,1
100,Chaillot,Molecular Gastronomy Restaurant,1
